,ppname,x,y,i,j,value,bearing,aniso,corrlen,zone
pp0,pp0,8079.0,5097.4,5,5,3.0,274.6859101854932,2.727272727272727,91000,1
pp1,pp1,8556.9,4414.8,5,15,3.0,274.6859101854932,8.181818181818182,91000,1
pp2,pp2,9034.9,3732.2,5,25,3.0,274.6859101854932,10.0,91000,1
pp3,pp3,9512.9,3049.6,5,35,3.0,274.6859101854932,10.0,91000,1
pp4,pp4,9990.9,2366.9,5,45,3.0,274.6859101854932,10.0,91000,1
pp5,pp5,10468.9,1684.3,5,55,3.0,274.6859101854932,10.0,91000,1
pp6,pp6,7396.3,4619.5,15,5,3.0,249.69552224206896,2.727272727272727,91000,1
pp7,pp7,7874.3,3936.8,15,15,3.0,249.69552224206896,8.181818181818182,91000,1
pp8,pp8,8352.3,3254.2,15,25,3.0,249.69552224206896,10.0,91000,1
pp9,pp9,8830.3,2571.6,15,35,3.0,249.69552224206896,10.0,91000,1
pp10,pp10,9308.3,1888.9,15,45,3.0,249.69552224206896,10.0,91000,1
pp11,pp11,9786.2,1206.3,15,55,3.0,249.69552224206896,10.0,91000,1
pp12,pp12,6713.7,4141.5,25,5,3.0,202.60831343775516,2.727272727272727,91000,1
pp13,pp13,7669.7,2776.2,25,25,3.0,202.60831343775516,10.0,91000,1
pp14,pp14,8147.7,2093.6,25,35,3.0,202.60831343775516,10.0,91000,1
pp15,pp15,8625.6,1411.0,25,45,3.0,202.60831343775516,10.0,91000,1
pp16,pp16,9103.6,728.3,25,55,3.0,202.60831343775516,10.0,91000,1
pp17,pp17,6031.1,3663.5,35,5,3.0,204.22664116068484,2.727272727272727,91000,1
pp18,pp18,6987.0,2298.2,35,25,3.0,204.22664116068484,10.0,91000,1
pp19,pp19,7465.0,1615.6,35,35,3.0,204.22664116068484,10.0,91000,1
pp20,pp20,7943.0,933.0,35,45,3.0,204.22664116068484,10.0,91000,1
pp21,pp21,8421.0,250.4,35,55,3.0,204.22664116068484,10.0,91000,1
pp22,pp22,5348.5,3185.5,45,5,3.0,252.11711807022863,2.727272727272727,91000,1
pp23,pp23,6304.4,1820.3,45,25,3.0,252.11711807022863,10.0,91000,1
pp24,pp24,6782.4,1137.6,45,35,3.0,252.11711807022863,10.0,91000,1
pp25,pp25,7260.4,455.0,45,45,3.0,252.11711807022863,10.0,91000,1
pp26,pp26,7738.4,-227.6,45,55,3.0,252.11711807022863,10.0,91000,1
pp27,pp27,4665.8,2707.5,55,5,3.0,274.26955822121704,2.727272727272727,91000,1
pp28,pp28,5621.8,1342.3,55,25,3.0,274.26955822121704,10.0,91000,1
pp29,pp29,6099.8,659.6,55,35,3.0,274.26955822121704,10.0,91000,1
pp30,pp30,6577.8,-23.0,55,45,3.0,274.26955822121704,10.0,91000,1
pp31,pp31,7055.7,-705.6,55,55,3.0,274.26955822121704,10.0,91000,1
pp32,pp32,3983.2,2229.5,65,5,3.0,237.37459746960647,2.727272727272727,91000,1
pp33,pp33,4939.2,864.3,65,25,3.0,237.37459746960647,10.0,91000,1
pp34,pp34,5417.1,181.7,65,35,3.0,237.37459746960647,10.0,91000,1
pp35,pp35,5895.1,-501.0,65,45,3.0,237.37459746960647,10.0,91000,1
pp36,pp36,6373.1,-1183.6,65,55,3.0,237.37459746960647,10.0,91000,1
pp37,pp37,3300.6,1751.6,75,5,3.0,196.90908957864977,2.727272727272727,91000,1
pp38,pp38,3778.6,1068.9,75,15,3.0,196.90908957864977,8.181818181818182,91000,1
pp39,pp39,4256.5,386.3,75,25,3.0,196.90908957864977,10.0,91000,1
pp40,pp40,4734.5,-296.3,75,35,3.0,196.90908957864977,10.0,91000,1
pp41,pp41,5212.5,-978.9,75,45,3.0,196.90908957864977,10.0,91000,1
pp42,pp42,5690.5,-1661.6,75,55,3.0,196.90908957864977,10.0,91000,1
pp43,pp43,2618.0,1273.6,85,5,3.0,213.71871693938655,2.727272727272727,91000,1
pp44,pp44,3095.9,591.0,85,15,3.0,213.71871693938655,8.181818181818182,91000,1
pp45,pp45,3573.9,-91.7,85,25,3.0,213.71871693938655,10.0,91000,1
pp46,pp46,4051.9,-774.3,85,35,3.0,213.71871693938655,10.0,91000,1
pp47,pp47,4529.9,-1456.9,85,45,3.0,213.71871693938655,10.0,91000,1
pp48,pp48,5007.9,-2139.5,85,55,3.0,213.71871693938655,10.0,91000,1
pp49,pp49,1935.3,795.6,95,5,3.0,262.5277990819396,2.727272727272727,91000,1
pp50,pp50,2413.3,113.0,95,15,3.0,262.5277990819396,8.181818181818182,91000,1
pp51,pp51,2891.3,-569.6,95,25,3.0,262.5277990819396,10.0,91000,1
pp52,pp52,3369.3,-1252.3,95,35,3.0,262.5277990819396,10.0,91000,1
pp53,pp53,3847.2,-1934.9,95,45,3.0,262.5277990819396,10.0,91000,1
pp54,pp54,4325.2,-2617.5,95,55,3.0,262.5277990819396,10.0,91000,1
pp55,pp55,1730.7,-365.0,105,15,3.0,269.94489562585477,8.181818181818182,91000,1
pp56,pp56,2208.7,-1047.6,105,25,3.0,269.94489562585477,10.0,91000,1
pp57,pp57,2686.6,-1730.3,105,35,3.0,269.94489562585477,10.0,91000,1
pp58,pp58,3164.6,-2412.9,105,45,3.0,269.94489562585477,10.0,91000,1
pp59,pp59,3642.6,-3095.5,105,55,3.0,269.94489562585477,10.0,91000,1
pp60,pp60,1048.1,-843.0,115,15,3.0,224.8173404093516,8.181818181818182,91000,1
pp61,pp61,1526.0,-1525.6,115,25,3.0,224.8173404093516,10.0,91000,1
pp62,pp62,2004.0,-2208.2,115,35,3.0,224.8173404093516,10.0,91000,1
pp63,pp63,2482.0,-2890.9,115,45,3.0,224.8173404093516,10.0,91000,1
